[DEBUG] 2017-04-30 18:26:08.532 [main] logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[DEBUG] 2017-04-30 18:26:08.552 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2017-04-30 18:26:08.559 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2017-04-30 18:26:08.563 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2017-04-30 18:26:08.658 [main] Version - HHH000412: Hibernate Core {5.2.3.Final}
[INFO ] 2017-04-30 18:26:08.660 [main] Environment - HHH000206: hibernate.properties not found
[INFO ] 2017-04-30 18:26:08.661 [main] Environment - HHH000021: Bytecode provider name : javassist
[DEBUG] 2017-04-30 18:26:08.768 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2017-04-30 18:26:08.769 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2017-04-30 18:26:08.779 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2017-04-30 18:26:09.140 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2017-04-30 18:26:09.168 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2017-04-30 18:26:09.190 [main] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2017-04-30 18:26:09.236 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1e66f1f5
[DEBUG] 2017-04-30 18:26:09.236 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1e66f1f5
[DEBUG] 2017-04-30 18:26:09.236 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1e66f1f5
[DEBUG] 2017-04-30 18:26:09.237 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@394df057
[DEBUG] 2017-04-30 18:26:09.238 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@1190200a
[DEBUG] 2017-04-30 18:26:09.238 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@399c4be1
[DEBUG] 2017-04-30 18:26:09.240 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7ee8290b
[DEBUG] 2017-04-30 18:26:09.240 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7ee8290b
[DEBUG] 2017-04-30 18:26:09.240 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7ee8290b
[DEBUG] 2017-04-30 18:26:09.241 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7494f96a
